GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenURL,utils,Calculator,13,22,2,2,5,6,3,5,2,4
OpenURL,utils,DataProviderClass,3,30,0,0,1,1,1,1,1,1
OpenURL,utils,CommonUtils,211,99,11,1,44,25,9,4,3,4
